SV_ID,Property_Name,BHK,Property_Type,City,USPs,OTA_Platform,Current_Title,Valid_Listing_URL
5229,The Sattva Grove,2,Villa,Wayanad,Plunge Pool,Booking.com,The Sattva Grove by StayVista - 2BHK Mountain-View Apartment with Plunge Pool,https://www.booking.com/hotel/in/stayvista-at-the-sattva-grove.html
5229,The Sattva Grove,2,Villa,Wayanad,Plunge Pool,MakeMyTrip,StayVista at The Sattva Grove,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202512271905322942&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
4697,Whispering Valley,6,Villa,India,"Bonfire, BBQ",Agoda,StayVista at Whispering Valley,https://www.agoda.com/stayvista-at-whispering-valley/hotel/ranikhet-in.html?adults=2&rooms=1&checkIn=2026-02-08&los=2
4697,Whispering Valley,6,Villa,India,"Bonfire, BBQ",Airbnb,6BR Whispering Valley w/Wifi & BBQ | Ranikhet,https://www.airbnb.co.in/rooms/1588238123528391691
4697,Whispering Valley,6,Villa,India,"Bonfire, BBQ",Booking.com,"Whispering Valley by VEO, StayVista - 6BHK Mountain-View Villa with Bonfire",https://www.booking.com/hotel/in/stayvista-at-whispering-valley.html
4697,Whispering Valley,6,Villa,India,"Bonfire, BBQ",MakeMyTrip,StayVista at Whispering Valley,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202512311619465027&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
5118,The Rising Sun,6,Villa,India,"Private Pool, BBQ",Agoda,StayVista at The Rising Sun - Mumbai,https://www.agoda.com/stayvista-at-the-rising-sun/hotel/ambernath-in.html
5118,The Rising Sun,6,Villa,India,"Private Pool, BBQ",Airbnb,6BR The Rising Sun w/ Pool & BBQ - Ambernath,https://www.airbnb.co.in/rooms/1593258744456719134
5118,The Rising Sun,6,Villa,India,"Private Pool, BBQ",Booking.com,The Rising Sun - Mumbai by StayVista - 6BHK Villa with Bar & Private Pool,https://www.booking.com/hotel/in/stayvista-at-the-rising-sun-with-pool-and-bbq.html
5118,The Rising Sun,6,Villa,India,"Private Pool, BBQ",MakeMyTrip,StayVista at The Rising Sun,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202601091724008311&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
4903,Treeansh,2,Villa,India,"Pool, Lawn, BBQ",Agoda,StayVista at Treeansh,https://www.agoda.com/stayvista-at-treeansh/hotel/palanpur-in.html
4903,Treeansh,2,Villa,India,"Pool, Lawn, BBQ",Airbnb,2BR |Pool+Lawn+BBQ|StayVista| Treeansh @Punjab,https://www.airbnb.co.in/rooms/1584482283138792342
4903,Treeansh,2,Villa,India,"Pool, Lawn, BBQ",Booking.com,StayVista's Treeansh - 2BHK Pet-Friendly Villa with Alfresco Dining,https://www.booking.com/hotel/in/treeansh.html
4903,Treeansh,2,Villa,India,"Pool, Lawn, BBQ",MakeMyTrip,StayVista at Treeansh,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202512240939209990&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
5135,Bagaan,4,Villa,India,"Pool, Lawn",Agoda,StayVista at Bagaan Villa,https://www.agoda.com/stayvista-at-bagaan-villa/hotel/new-delhi-and-ncr-in.html
5135,Bagaan,4,Villa,India,"Pool, Lawn",Airbnb,"Bagaan Farm Stay | Pool, Lawn & Pool Table",https://www.airbnb.co.in/rooms/1579600318590152079
5135,Bagaan,4,Villa,India,"Pool, Lawn",Booking.com,StayVista's Bagaan Farm Stay - 4BHK Pet-Friendly Villa with Home Theatre,https://www.booking.com/hotel/in/stayvista-at-bagaan-villa.html
5135,Bagaan,4,Villa,India,"Pool, Lawn",MakeMyTrip,StayVista at Bagaan Farm Stay,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202512241715287609&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
5254,Sneh Bliss,5,Villa,Mahabaleshwar,"Pool, Jacuzzi",Agoda,StayVista at Sneh Bliss Villa,https://www.agoda.com/stayvista-at-sneh-bliss/hotel/mahabaleshwar-in.html
5254,Sneh Bliss,5,Villa,Mahabaleshwar,"Pool, Jacuzzi",Airbnb,StayVista at Sneh Bliss Villa w/ Pool,https://www.airbnb.co.in/rooms/1596830957818652449
5254,Sneh Bliss,5,Villa,Mahabaleshwar,"Pool, Jacuzzi",Booking.com,StayVista's Sneh Bliss Villa - 5BHK with Jacuzzi & Alfresco Dining,https://www.booking.com/hotel/in/stayvista-at-sneh-bliss-villa-with-pool.html
5254,Sneh Bliss,5,Villa,Mahabaleshwar,"Pool, Jacuzzi",MakeMyTrip,StayVista at Sneh Bliss Villa,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202601121120502626&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
5215,Montara View,6,Villa,Igatpuri,Infinity Pool,Agoda,StayVista at Montara View,https://www.agoda.com/en-gb/stayvista-at-montara-view/hotel/shevgedang-in.html
5215,Montara View,6,Villa,Igatpuri,Infinity Pool,Airbnb,6BR|Infinity Pool|StayVista| Montara View@Igatpuri,https://www.airbnb.co.in/rooms/1594674206435465196
5215,Montara View,6,Villa,Igatpuri,Infinity Pool,Booking.com,StayVista's Montara View - 6BHK Villa with Infinity Pool & Alfresco Dining,https://www.booking.com/hotel/in/stayvista-at-montara-view.html
