SV_ID,Property_Name,BHK,Property_Type,City,USPs,OTA_Platform,Current_Title,Valid_Listing_URL
475,Kinara The Luxury Collection,4,Villa,Goa,"Infinity Pool, Jacuzzi",Airbnb,4BR|Luxury Pool Villa+Beach|StayVista| Kinara @Goa,https://www.airbnb.co.in/rooms/1562970641426659589
475,Kinara The Luxury Collection,4,Villa,Goa,"Infinity Pool, Jacuzzi",Booking.com,Villa Kinara - Reis Magos by StayVista - 4BHK with Infinity Pool & Jacuzzi,https://www.booking.com/hotel/in/villa-kinara-by-vista-rooms.html
475,Kinara The Luxury Collection,4,Villa,Goa,"Infinity Pool, Jacuzzi",MakeMyTrip,StayVista | Villa Kinara,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201907091201503554&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
536,EL Lodge,3,Villa,Lonavala,Private Pool,Agoda,EL Lodge by StayVista - your perfect getaway,https://www.agoda.com/en-in/el-lodge-by-vista-rooms/hotel/lonavala-in.html
536,EL Lodge,3,Villa,Lonavala,Private Pool,Airbnb,3BR|Garden Pool|StayVista| El Lodge Villa@Lonavala,https://www.airbnb.co.in/rooms/656122526722052274
536,EL Lodge,3,Villa,Lonavala,Private Pool,Booking.com,"EL Lodge by VEO, StayVista - 3BHK Villa with Alfresco Dining & Private Pool",https://www.booking.com/hotel/in/el-lodge-by-vista-rooms.html
536,EL Lodge,3,Villa,Lonavala,Private Pool,MakeMyTrip,StayVista | EL Lodge 3 BHK Pool Villa,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201908281754079648&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
435,Elevar,5,Villa,Karjat,"Plunge Pool, Mountain View",Agoda,"StayVista's Elevar Villa - Elevate your stay with a Mountain-View, Terrace & Plunge Pool",https://www.agoda.com/en-in/elysium-villa-by-vista-rooms/hotel/karjat-in.html
435,Elevar,5,Villa,Karjat,"Plunge Pool, Mountain View",Airbnb,5BR Pvt Pool | StayVista Elevar Villa | Karjat Gem,https://www.airbnb.co.in/rooms/1294694749244221921
435,Elevar,5,Villa,Karjat,"Plunge Pool, Mountain View",Booking.com,"Elevar Villa by VEO, StayVista - 5BHK with Mountain View & Plunge Pool",https://www.booking.com/hotel/in/elysium-villa-by-vista-rooms.html
435,Elevar,5,Villa,Karjat,"Plunge Pool, Mountain View",MakeMyTrip,StayVista | Elevar 5 BHK Pool Villa,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201907161704288821&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
695,Maximus,6,Villa,Lonavala,"Pool, Gazebo",Agoda,StayVista at Maximus Villa,https://www.agoda.com/en-in/stayvista-s-maximus-villa-city-center-villa-with-private-pool-gazebo-games-projector-room/hotel/lonavala-in.html
695,Maximus,6,Villa,Lonavala,"Pool, Gazebo",Airbnb,6BR Maximus Villa Lonavala W/Pool,https://www.airbnb.co.in/rooms/656079073576721705
